Ticker,Quantidade,Preco_Medio,Dividendo_Mensal
BTLG11,102,100.79,0.79
VISC11,90,113.90,0.81
KNCR11,83,101.93,1.30
CPTS11,1100,7.82,0.09
XPML11,70,105.79,0.92
GARE11,810,8.92,0.08
MXRF11,751,9.85,0.10
VGIA11,690,9.12,0.14
XPCA11,600,9.12,0.11
CPUR11,200,9.80,0.10
